Enlace,Baños,Área Construida,Antigüedad,Habitaciones,Parqueaderos,Área Privada,Estrato,Administración,Piso N°,Acepta mascotas,Documentación requerida,Estado,Cantidad de pisos,Contrato Mínimo,Precio,Latitud,Longitud
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-ibague/192614181,2,78 m2,¡Pregúntale!,3,1,¡Pregúntale!,4,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Usado,¡Pregúntale!,¡Pregúntale!,$ 1.700.000,4.4311275,-75.1802893
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-la-pola-ibague/192677018,5,236 m2,9 a 15 años,5,1,157 m2,4,¡Pregúntale!,6,¡Pregúntale!,¡Pregúntale!,Usado,¡Pregúntale!,¡Pregúntale!,$ 3.000.000,4.4496067,-75.2480578
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-gaitan-ibague/192120096,1,60.00  m2,1 a 8 años,2,¡Pregúntale!,60.00  m2,3,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,$ 650.000,4.4435743474833,-75.217651050068
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-vergel-ibague/192515801,2,65.00  m2,1 a 8 años,2,1,¡Pregúntale!,3,¡Pregúntale!,3,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,$ 2.100.000,4.5805,-75.3754
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-vergel-ibague/192790366,2,95 m2,9 a 15 años,3,1,¡Pregúntale!,Sin Definir,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Usado,¡Pregúntale!,¡Pregúntale!,$ 2.200.000,4.5805,-75.3754
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-arboleda-ibague/192010744,2,60 m2,menor a 1 año,3,1,58 m2,3,$ 151.000,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Usado,¡Pregúntale!,¡Pregúntale!,$ 900.000,4.3972882,-75.146605
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-la-samaria-ibague/192795358,2,80 m2,1 a 8 años,3,1,80 m2,4,¡Pregúntale!,15,¡Pregúntale!,¡Pregúntale!,Usado,¡Pregúntale!,¡Pregúntale!,$ 1.850.000,4.4230877205406,-75.176848187064
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-la-samaria-ibague/192589217,1,40 m2,1 a 8 años,2,¡Pregúntale!,40 m2,3,$ 130.000,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Usado,¡Pregúntale!,¡Pregúntale!,$ 720.000,4.4199241938459,-75.170624256134
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-la-pola-ibague/192812753,4,120 m2,9 a 15 años,4,2,120 m2,3,¡Pregúntale!,8,¡Pregúntale!,¡Pregúntale!,Usado,¡Pregúntale!,¡Pregúntale!,$ 3.200.000,4.4491471528864,-75.245538633621
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-el-salado-ibague/191344849,2,44.00  m2,9 a 15 años,3,¡Pregúntale!,44.00  m2,3,"$ 138,000.00",¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,$ 562.000,4.4517669714068,-75.141644787901
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-aparco-ibague/192497314,2,77 m2,1 a 8 años,3,2,77 m2,4,$ 456.000,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Usado,¡Pregúntale!,¡Pregúntale!,$ 1.144.000,4.3897289628639,-75.166443182526
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-ambala-ibague/192638309,2,58.00  m2,1 a 8 años,3,1,58.00  m2,3,"$ 145,000.00",¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,$ 793.000,4.4617480011795,-75.204420089722
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-la-samaria-ibague/192592371,1,40.00  m2,1 a 8 años,2,¡Pregúntale!,35.00  m2,2,"$ 130,000.00",¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,$ 720.000,4.4199241938459,-75.170624256134
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-cd-simon-bolivar-et-i-ibague/192596690,2,90 m2,1 a 8 años,3,1,90 m2,4,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Usado,¡Pregúntale!,¡Pregúntale!,$ 1.900.000,4.4317549024315,-75.181202888489
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-galan-ibague/192782746,2,73 m2,9 a 15 años,3,1,73 m2,4,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Usado,¡Pregúntale!,¡Pregúntale!,$ 1.270.000,4.4302462,-75.2409001
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-la-gaviota-ibague/192751071,2,"84,50 m2",9 a 15 años,3,2,80 m2,4,¡Pregúntale!,12,¡Pregúntale!,¡Pregúntale!,Usado,¡Pregúntale!,¡Pregúntale!,$ 2.200.000,4.4483461,-75.1752578
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-rincon-de-piedra-pintada-ibague/192734363,3,100 m2,1 a 8 años,3,1,100 m2,5,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Usado,¡Pregúntale!,¡Pregúntale!,$ 2.500.000,4.4416567,-75.2055919
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-cerro-azul-del-vergel-ibague/192605502,2,97 m2,1 a 8 años,2,1,91 m2,5,¡Pregúntale!,10,¡Pregúntale!,¡Pregúntale!,Usado,¡Pregúntale!,¡Pregúntale!,$ 4.750.000,4.4527283,-75.1900626
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-picaleña-y-mirolindo-ibague/192532787,2,"72,31 m2",1 a 8 años,3,1,"66,31 m2",4,¡Pregúntale!,8,¡Pregúntale!,¡Pregúntale!,Usado,8,¡Pregúntale!,$ 1.600.000,4.4112974463264,-75.171295975239
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-primavera-de-entre-rios-ibague/192835541,2,75 m2,16 a 30 años,3,¡Pregúntale!,75 m2,2,¡Pregúntale!,4,¡Pregúntale!,¡Pregúntale!,Usado,¡Pregúntale!,¡Pregúntale!,$ 1.400.000,4.4468313557957,-75.194155555523
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-ub-divino-niño-ibague/192444153,2,56.00  m2,16 a 30 años,3,¡Pregúntale!,56.00  m2,2,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,$ 700.000,4.4266374889924,-75.23756314069
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-arkalucia-ibague/192371808,2,60 m2,1 a 8 años,1,1,56 m2,4,¡Pregúntale!,6,¡Pregúntale!,¡Pregúntale!,Usado,¡Pregúntale!,¡Pregúntale!,$ 3.500.000,4.4389163,-75.1989264
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-co-torres-rfp-ibague/192416840,2,56 m2,1 a 8 años,1,1,56 m2,5,¡Pregúntale!,15,¡Pregúntale!,¡Pregúntale!,Usado,15,¡Pregúntale!,$ 2.100.000,4.4426556,-75.2044118
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-picaleña-y-mirolindo-ibague/192676883,2,60.00  m2,menor a 1 año,3,1,60.00  m2,3,¡Pregúntale!,5,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,$ 1.100.000,4.4076569168096,-75.166780930317
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-ibague/192180073,2,1 m2,1 a 8 años,3,1,1 m2,3,¡Pregúntale!,8,¡Pregúntale!,¡Pregúntale!,Usado,8,¡Pregúntale!,$ 650.000,4.451486,-75.141432
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-picaleña-y-mirolindo-ibague/192608594,1,42 m2,1 a 8 años,2,¡Pregúntale!,39 m2,2,$ 130.000,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Usado,¡Pregúntale!,¡Pregúntale!,$ 520.000,4.3923042105903,-75.141313076019
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-santa-ana-ibague/192677128,1,56.00  m2,1 a 8 años,2,1,56.00  m2,2,¡Pregúntale!,2,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,$ 750.000,4.4453177939481,-75.1638600047
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-comuna-08-ibague/192217604,1,40.00  m2,¡Pregúntale!,2,¡Pregúntale!,¡Pregúntale!,2,¡Pregúntale!,3,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,3,¡Pregúntale!,$ 1.400.000,4.4199215,-75.1706055
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-picaleña-y-mirolindo-ibague/192212795,2,68 m2,menor a 1 año,3,1,68 m2,3,¡Pregúntale!,4,¡Pregúntale!,¡Pregúntale!,Usado,4,¡Pregúntale!,$ 1.250.000,4.4014387814551,-75.153205148108
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-picaleña-y-mirolindo-ibague/192676084,2,68.00  m2,1 a 8 años,3,1,68.00  m2,4,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,$ 2.000.000,4.4016959309195,-75.155019443787
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-aparco-ibague/192625688,2,77 m2,1 a 8 años,3,1,77 m2,3,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Usado,¡Pregúntale!,¡Pregúntale!,$ 1.600.000,4.4059501941585,-75.168250966658
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-picaleñita-ibague/192460944,2,60 m2,1 a 8 años,3,1,60 m2,3,$ 220.000,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Usado,¡Pregúntale!,¡Pregúntale!,$ 880.000,4.4015038541649,-75.159058570862
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-belen-ibague/192701548,2,98 m2,1 a 8 años,3,2,98 m2,4,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Usado,¡Pregúntale!,¡Pregúntale!,$ 2.200.000,4.454062,-75.2273097
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-varsovia-ibague/192638338,2,76.00  m2,1 a 8 años,3,1,76.00  m2,4,"$ 306,500.00",¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,$ 1.073.500,4.4435898,-75.1982539
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-cd-simon-bolivar-et-ii-ibague/192803399,2,80 m2,1 a 8 años,3,1,78 m2,4,¡Pregúntale!,5,¡Pregúntale!,¡Pregúntale!,Usado,¡Pregúntale!,¡Pregúntale!,$ 2.000.000,4.4354689,-75.1782045
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-ub-los-parrales-ibague/192799758,4,210 m2,1 a 8 años,4,1,180 m2,4,¡Pregúntale!,11,¡Pregúntale!,¡Pregúntale!,Usado,¡Pregúntale!,¡Pregúntale!,$ 4.500.000,4.4370692,-75.2034429
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-nuevo-bilbao-ibague/192669238,2,53 m2,9 a 15 años,3,1,53 m2,3,¡Pregúntale!,7,¡Pregúntale!,¡Pregúntale!,Usado,¡Pregúntale!,¡Pregúntale!,$ 880.000,4.4470212,-75.1529419
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-comuna-08-ibague/192666097,2,57 m2,1 a 8 años,2,¡Pregúntale!,¡Pregúntale!,3,¡Pregúntale!,5,¡Pregúntale!,¡Pregúntale!,Usado,¡Pregúntale!,¡Pregúntale!,$ 1.100.000,4.4189575,-75.1701309
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-la-pola-ibague/192754923,1,30 m2,1 a 8 años,1,1,30 m2,4,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Usado,¡Pregúntale!,¡Pregúntale!,$ 1.100.000,4.4493542183419,-75.246643949738
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-picaleña-y-mirolindo-ibague/192779435,3,80 m2,1 a 8 años,3,1,78 m2,3,¡Pregúntale!,13,¡Pregúntale!,¡Pregúntale!,Usado,¡Pregúntale!,¡Pregúntale!,$ 2.600.000,4.429528364003,-75.211224427455
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-vergel-ibague/192701794,2,100 m2,1 a 8 años,3,2,100 m2,5,$ 500.000,12,¡Pregúntale!,¡Pregúntale!,Usado,¡Pregúntale!,¡Pregúntale!,$ 3.100.000,4.434979,-75.1891849
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-ciudadela-comfenalco-ibague/192576356,2,72 m2,9 a 15 años,3,¡Pregúntale!,72 m2,3,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Usado,¡Pregúntale!,¡Pregúntale!,$ 700.000,4.4164199,-75.14889
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-picaleña-y-mirolindo-ibague/192152701,2,69.00  m2,1 a 8 años,3,1,¡Pregúntale!,4,¡Pregúntale!,10,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,$ 1.200.000,4.4149632,-75.1818019
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-plazas-del-bosque-ibague/192801098,1,150 m2,¡Pregúntale!,2,¡Pregúntale!,¡Pregúntale!,3,¡Pregúntale!,1,¡Pregúntale!,¡Pregúntale!,Usado,¡Pregúntale!,¡Pregúntale!,$ 1.000.000,4.447338,-75.2018875
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-centro-ibague/191707760,2,105.00  m2,más de 30 años,3,¡Pregúntale!,¡Pregúntale!,3,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,$ 700.000,4.4415602278174,-75.239811348122
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-jardin-et-i-ibague/192051217,2,51 m2,16 a 30 años,3,¡Pregúntale!,50 m2,2,$ 224.500,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Usado,¡Pregúntale!,¡Pregúntale!,$ 575.500,4.43742,-75.18375
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-ibague/191707485,2,47 m2,1 a 8 años,3,¡Pregúntale!,¡Pregúntale!,3,$ 167.000,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Usado,¡Pregúntale!,¡Pregúntale!,$ 460.000,4.4516024694949,-75.142068903363
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-picaleña-y-mirolindo-ibague/192819062,2,65 m2,menor a 1 año,3,¡Pregúntale!,¡Pregúntale!,3,¡Pregúntale!,2,¡Pregúntale!,¡Pregúntale!,Usado,¡Pregúntale!,¡Pregúntale!,$ 950.000,4.407495,-75.1670501
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-picaleña-y-mirolindo-ibague/192732085,1,48.00  m2,más de 30 años,2,¡Pregúntale!,48.00  m2,3,"$ 135,000.00",¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,$ 715.000,4.4299394598584,-75.187480933964
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-ub-los-ocobos-ibague/192755337,1,58 m2,16 a 30 años,2,¡Pregúntale!,58 m2,3,$ 140.000,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Usado,¡Pregúntale!,¡Pregúntale!,$ 760.000,4.4406673746246,-75.198977311724
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-comuna-08-ibague/191127246,2,53.00  m2,¡Pregúntale!,2,¡Pregúntale!,¡Pregúntale!,3,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,$ 1.150.000,4.4187502,-75.1698692
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-el-carmen-ibague/192650939,3,120.00  m2,16 a 30 años,3,1,¡Pregúntale!,3,¡Pregúntale!,4,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,$ 1.500.000,4.4395746120202,-75.228604956223
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-la-samaria-ibague/192721671,2,58.00  m2,1 a 8 años,3,¡Pregúntale!,58.00  m2,3,"$ 190,000.00",¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,$ 1.090.000,4.4216570942606,-75.171632766724
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-picaleña-y-mirolindo-ibague/192627574,2,65 m2,9 a 15 años,3,1,¡Pregúntale!,3,¡Pregúntale!,7,¡Pregúntale!,¡Pregúntale!,Usado,¡Pregúntale!,¡Pregúntale!,$ 1.100.000,4.423600781248,-75.184960053752
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-reservas-de-san-fermin-ibague/191707309,1,38 m2,1 a 8 años,3,¡Pregúntale!,¡Pregúntale!,2,$ 104.000,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Usado,¡Pregúntale!,¡Pregúntale!,$ 446.000,4.451919,-75.1309956
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-ibague/191707508,2,41 m2,1 a 8 años,3,1,¡Pregúntale!,3,$ 175.300,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Usado,¡Pregúntale!,¡Pregúntale!,$ 554.700,4.45159,-75.14192
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-la-samaria-ibague/192534472,2,53.00  m2,menor a 1 año,2,¡Pregúntale!,49.00  m2,3,"$ 170,000.00",¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,$ 1.130.000,4.4216570942606,-75.171632766724
